facility_id,report_timestamp,report_hour,total_rack_units,occupied_rack_units,server_utilization_pct,rack_type,cooling_temp_celsius,cooling_efficiency_pue,active_servers,failed_servers,maintenance_servers,network_throughput_gbps,network_utilization_pct,report_source
DAL-01,2026-05-07T00:00:00,0,1453,606,45.0,standard_1U,26.2,1.72,422,2,7,30.1,77.22,DCIM_EXPORT
DAL-01,2026-05-07T01:00:00,1,1227,716,54.29,storage_dense,20.9,1.377,558,5,10,87.73,42.76,DCIM_EXPORT
DAL-01,2026-05-07T02:00:00,2,1125,577,47.59,storage_dense,19.9,1.477,537,3,5,33.2,36.8,DCIM_EXPORT
DAL-01,2026-05-07T03:00:00,3,1406,734,43.22,blade,23.6,1.305,282,0,0,17.31,40.64,DCIM_EXPORT
DAL-01,2026-05-07T04:00:00,4,917,1006,58.2,storage_dense,20.5,1.745,378,1,1,38.37,42.35,DCIM_EXPORT
DAL-01,2026-05-07T05:00:00,5,1809,1165,59.11,networking,20.1,1.581,522,2,2,75.8,48.94,DCIM_EXPORT
DAL-01,2026-05-07T06:00:00,6,1798,845,59.19,standard_1U,25.4,1.719,201,2,10,49.76,75.78,DCIM_EXPORT
DAL-01,2026-05-07T07:00:00,7,1381,686,46.84,standard_1U,21.7,1.323,694,3,1,35.38,67.92,DCIM_EXPORT
DAL-01,2026-05-07T08:00:00,8,1689,540,46.3,gpu_compute,18.1,1.266,503,3,7,50.13,69.84,DCIM_EXPORT
DAL-01,2026-05-07T09:00:00,9,873,1329,72.52,networking,23.6,1.721,740,1,0,66.06,67.78,DCIM_EXPORT
DAL-01,2026-05-07T10:00:00,10,1554,1367,75.31,networking,24.3,1.451,710,2,7,51.58,50.06,DCIM_EXPORT
DAL-01,2026-05-07T11:00:00,11,1981,1026,65.11,gpu_compute,23.2,1.628,784,5,0,25.22,79.21,DCIM_EXPORT
DAL-01,2026-05-07T12:00:00,12,1006,1062,73.93,standard_1U,20.9,1.724,578,2,0,19.26,51.76,DCIM_EXPORT
