facility_id,report_timestamp,report_hour,total_rack_units,occupied_rack_units,server_utilization_pct,rack_type,cooling_temp_celsius,cooling_efficiency_pue,active_servers,failed_servers,maintenance_servers,network_throughput_gbps,network_utilization_pct,report_source
DAL-01,2026-05-10T00:00:00,0,895,734,52.06,standard_1U,22.5,1.617,561,0,10,45.65,74.41,DCIM_EXPORT
DAL-01,2026-05-10T01:00:00,1,1922,689,53.32,storage_dense,19.8,1.582,690,0,9,88.4,69.62,DCIM_EXPORT
DAL-01,2026-05-10T02:00:00,2,1187,822,51.76,standard_1U,25.6,1.64,606,3,3,67.67,66.0,DCIM_EXPORT
DAL-01,2026-05-10T03:00:00,3,1788,575,44.79,standard_1U,24.9,1.547,253,4,0,86.08,59.71,DCIM_EXPORT
DAL-01,2026-05-10T04:00:00,4,1037,363,43.23,gpu_compute,18.5,1.35,592,2,2,90.89,43.41,DCIM_EXPORT
DAL-01,2026-05-10T05:00:00,5,954,528,53.4,blade,23.5,1.333,729,0,6,78.9,65.14,DCIM_EXPORT
DAL-01,2026-05-10T06:00:00,6,1457,402,44.02,networking,21.1,1.592,713,3,7,87.39,81.78,DCIM_EXPORT
DAL-01,2026-05-10T07:00:00,7,1692,951,57.68,standard_1U,24.9,1.774,703,2,8,55.15,44.15,DCIM_EXPORT
DAL-01,2026-05-10T08:00:00,8,1207,541,44.24,blade,23.0,1.787,562,5,0,64.96,71.17,DCIM_EXPORT
DAL-01,2026-05-10T09:00:00,9,889,1160,65.25,gpu_compute,18.6,1.394,607,1,7,76.68,38.35,DCIM_EXPORT
DAL-01,2026-05-10T10:00:00,10,1896,1140,68.32,gpu_compute,20.3,1.51,473,3,9,20.55,37.17,DCIM_EXPORT
DAL-01,2026-05-10T11:00:00,11,1783,819,74.07,gpu_compute,19.0,1.523,281,3,7,31.22,49.27,DCIM_EXPORT
DAL-01,2026-05-10T12:00:00,12,1326,1049,69.94,storage_dense,20.5,1.493,587,0,4,15.01,75.45,DCIM_EXPORT
DAL-01,2026-05-10T13:00:00,13,1781,935,68.12,gpu_compute,19.3,1.487,666,2,3,48.52,82.17,DCIM_EXPORT
DAL-01,2026-05-10T14:00:00,14,1322,690,73.1,blade,23.3,1.608,604,0,8,27.5,68.77,DCIM_EXPORT
DAL-01,2026-05-10T15:00:00,15,945,904,75.88,storage_dense,23.5,1.629,231,1,2,73.12,84.82,DCIM_EXPORT
DAL-01,2026-05-10T16:00:00,16,1148,1033,65.05,gpu_compute,24.9,1.223,616,4,1,77.71,80.91,DCIM_EXPORT
DAL-01,2026-05-10T17:00:00,17,1236,855,77.43,standard_1U,21.3,1.338,738,3,0,66.48,84.22,DCIM_EXPORT
DAL-01,2026-05-10T18:00:00,18,1068,1021,71.1,networking,23.1,1.772,786,5,2,17.81,66.89,DCIM_EXPORT
DAL-01,2026-05-10T19:00:00,19,1121,613,49.49,gpu_compute,20.8,1.783,786,0,3,14.03,65.3,DCIM_EXPORT
DAL-01,2026-05-10T20:00:00,20,1058,523,41.45,gpu_compute,20.2,1.235,736,2,9,92.57,76.57,DCIM_EXPORT
DAL-01,2026-05-10T21:00:00,21,819,885,57.6,storage_dense,19.0,1.306,792,5,10,98.1,55.35,DCIM_EXPORT
DAL-01,2026-05-10T22:00:00,22,1187,700,51.77,networking,18.2,1.306,363,2,7,43.64,65.11,DCIM_EXPORT
DAL-01,2026-05-10T23:00:00,23,1476,582,53.8,blade,24.0,1.666,210,3,5,45.2,69.94,DCIM_EXPORT
DAL-02,2026-05-10T00:00:00,0,1636,1088,59.91,blade,24.7,1.762,611,0,9,39.95,82.92,DCIM_EXPORT
DAL-02,2026-05-10T01:00:00,1,1410,722,43.09,blade,18.6,1.414,482,2,0,43.96,56.8,DCIM_EXPORT
DAL-02,2026-05-10T02:00:00,2,966,760,44.32,gpu_compute,20.8,1.337,575,5,0,37.43,75.5,DCIM_EXPORT
DAL-02,2026-05-10T03:00:00,3,1974,631,45.85,standard_1U,21.7,1.364,689,1,9,43.09,65.96,DCIM_EXPORT
DAL-02,2026-05-10T04:00:00,4,1726,737,54.93,blade,25.9,1.24,361,5,4,60.86,74.82,DCIM_EXPORT
DAL-02,2026-05-10T05:00:00,5,858,586,53.53,networking,18.2,1.609,317,1,10,92.05,78.76,DCIM_EXPORT
DAL-02,2026-05-10T06:00:00,6,1431,724,52.96,blade,19.8,1.368,710,3,9,91.38,72.81,DCIM_EXPORT
DAL-02,2026-05-10T07:00:00,7,980,541,40.33,networking,21.8,1.718,357,1,8,50.54,79.77,DCIM_EXPORT
DAL-02,2026-05-10T08:00:00,8,1787,491,43.63,blade,19.4,1.411,783,3,9,32.49,40.53,DCIM_EXPORT
DAL-02,2026-05-10T09:00:00,9,979,1093,77.53,gpu_compute,22.0,1.682,594,5,5,93.72,54.7,DCIM_EXPORT
DAL-02,2026-05-10T10:00:00,10,1964,1307,69.69,networking,19.5,1.35,418,4,1,31.32,30.45,DCIM_EXPORT
DAL-02,2026-05-10T11:00:00,11,1869,1481,74.73,networking,23.2,1.293,352,3,6,72.08,48.98,DCIM_EXPORT
DAL-02,2026-05-10T12:00:00,12,1424,1222,73.22,standard_1U,22.4,1.362,530,3,1,72.39,46.42,DCIM_EXPORT
DAL-02,2026-05-10T13:00:00,13,1169,1182,75.49,standard_1U,20.3,1.202,562,4,2,18.91,59.02,DCIM_EXPORT
DAL-02,2026-05-10T14:00:00,14,1979,664,68.58,blade,24.0,1.433,209,3,8,43.62,76.13,DCIM_EXPORT
DAL-02,2026-05-10T15:00:00,15,1098,642,72.47,storage_dense,26.3,1.706,403,5,8,68.22,66.27,DCIM_EXPORT
DAL-02,2026-05-10T16:00:00,16,1133,1097,67.4,networking,26.2,1.272,695,0,9,48.48,58.43,DCIM_EXPORT
DAL-02,2026-05-10T17:00:00,17,938,1479,74.11,blade,26.7,1.606,779,0,9,58.96,38.04,DCIM_EXPORT
DAL-02,2026-05-10T18:00:00,18,806,890,66.62,standard_1U,25.7,1.203,459,3,9,93.36,73.6,DCIM_EXPORT
DAL-02,2026-05-10T19:00:00,19,1765,576,47.61,networking,21.3,1.264,720,2,4,40.26,58.45,DCIM_EXPORT
DAL-02,2026-05-10T20:00:00,20,1180,737,41.68,blade,25.8,1.732,421,2,9,66.21,61.53,DCIM_EXPORT
