facility_id,billing_date,customer_id,customer_name,contract_type,rack_count,power_allocation_kw,monthly_rate_usd,daily_revenue_usd,contract_start_date,contract_end_date,invoice_status,report_source
DAL-01,2026-05-11,15eaaa7d-d7e7-4e39-bf24-fa6823fc8add,Lopez PLC,colocation,38,215.15,48598.36,1619.95,2025-08-20,2027-05-27,paid,ERP_BILLING_EXPORT
DAL-01,2026-05-11,cbe0a1ba-866b-4107-b5bd-8209ad9bb805,Martin Group,wholesale,9,56.73,11490.62,383.02,2023-12-10,2027-08-20,overdue,ERP_BILLING_EXPORT
DAL-01,2026-05-11,b044c668-7bf3-423b-8342-deaa25897e07,Carr Ltd,cloud,15,120.78,20730.42,691.01,2026-01-12,2027-10-25,pending,ERP_BILLING_EXPORT
DAL-01,2026-05-11,3240a856-725b-4f39-a0e0-9dc6e28429d8,Nichols-Horn,wholesale,33,137.57,43424.02,1447.47,2026-01-06,2027-09-28,pending,ERP_BILLING_EXPORT
DAL-01,2026-05-11,70f34cb9-55a7-4b63-95f4-92bd4833688b,Gonzalez PLC,wholesale,28,185.02,63131.73,2104.39,2026-01-02,2028-07-12,paid,ERP_BILLING_EXPORT
DAL-01,2026-05-11,c7819dba-5f26-4872-903e-b1b697cbb414,Johnson-Roberts,cloud,34,313.66,83829.36,2794.31,2023-11-23,2028-06-24,overdue,ERP_BILLING_EXPORT
DAL-01,2026-05-11,d0753bbc-337f-4ca3-81c8-6ec7a7f48e89,Wade-York,wholesale,30,273.34,50586.8,1686.23,2025-10-02,2026-09-23,paid,ERP_BILLING_EXPORT
DAL-01,2026-05-11,926dd96b-4a6f-4d8e-a366-275133f6a6f8,Moore Ltd,colocation,39,329.9,65765.24,2192.17,2024-04-08,2028-02-21,pending,ERP_BILLING_EXPORT
DAL-01,2026-05-11,8b4068fd-32bc-495e-8ce6-b4b5fe6c2abb,Martin Group,cloud,3,18.78,2623.22,87.44,2025-05-24,2027-10-31,overdue,ERP_BILLING_EXPORT
DAL-01,2026-05-11,c88127d8-c81f-4074-bb31-2a8dc675291e,"Patterson, Wilson and Tyler",colocation,23,137.15,43764.16,1458.81,2026-01-23,2026-08-11,paid,ERP_BILLING_EXPORT
DAL-02,2026-05-11,b75b1139-c88c-4274-9537-927fd188f5dc,Ortiz-Koch,colocation,41,189.83,86085.97,2869.53,2024-10-06,2026-10-28,pending,ERP_BILLING_EXPORT
DAL-02,2026-05-11,2be8cb5e-2a3b-45c1-a883-92436362efc2,"Alexander, Nelson and Singh",colocation,28,94.3,64237.6,2141.25,2024-07-10,2029-02-06,paid,ERP_BILLING_EXPORT
DAL-02,2026-05-11,f69b4f79-412b-49b4-9e0c-718b37f7658a,"Weber, Dean and Salazar",cloud,38,139.82,35655.82,1188.53,2026-01-09,2026-07-27,pending,ERP_BILLING_EXPORT
DAL-02,2026-05-11,0de767b1-3874-4ca8-a2e3-ba7fdc39897a,"Watkins, Reyes and Reed",colocation,36,195.96,32632.45,1087.75,2024-04-29,2028-09-24,pending,ERP_BILLING_EXPORT
DAL-02,2026-05-11,3dcf9980-5552-4150-a85d-8ba81156812c,"Thomas, Raymond and Perez",cloud,28,217.0,31140.22,1038.01,2025-10-02,2027-03-11,overdue,ERP_BILLING_EXPORT
DAL-02,2026-05-11,0f942db1-1955-4964-be86-4adac1ffca4a,"Klein, Rosales and Williams",wholesale,23,64.48,36339.84,1211.33,2024-02-26,2028-10-02,overdue,ERP_BILLING_EXPORT
DAL-02,2026-05-11,0b791153-8d45-4dc4-8436-fa5c99056b24,Ortiz-Koch,cloud,1,7.36,1967.25,65.57,2025-10-02,2028-05-22,paid,ERP_BILLING_EXPORT
DAL-02,2026-05-11,b710432a-60d7-4ddb-9236-c3130e79d6fc,Hill PLC,colocation,49,247.94,64718.16,2157.27,2024-04-17,2028-01-15,paid,ERP_BILLING_EXPORT
DAL-02,2026-05-11,68225118-3d79-484f-be95-031798853493,"Mcfarland, Newman and Obrien",wholesale,41,107.22,51167.9,1705.6,2024-04-14,2026-12-23,pending,ERP_BILLING_EXPORT
DAL-02,2026-05-11,3ca3350f-8037-40f2-a6a1-8507185731b5,"Evans, Parks and Stanley",cloud,45,120.97,68383.25,2279.44,2024-03-21,2029-01-13,paid,ERP_BILLING_EXPORT
ATL-01,2026-05-11,17082225-6f6d-4cd4-bfcd-cb9266d2c55e,Martin Group,cloud,21,145.61,21064.94,702.16,2023-07-25,2028-09-25,pending,ERP_BILLING_EXPORT
ATL-01,2026-05-11,d5546024-5244-4db6-a339-d167cb2928f2,"Alexander, Nelson and Singh",cloud,13,102.1,31802.04,1060.07,2026-04-07,2028-04-26,paid,ERP_BILLING_EXPORT
ATL-01,2026-05-11,a86ca97a-d69a-4a71-87d7-2e1542efaf15,"Mcfarland, Newman and Obrien",colocation,12,88.41,10271.88,342.4,2025-03-29,2028-04-29,overdue,ERP_BILLING_EXPORT
ATL-01,2026-05-11,9edecaf9-4d9e-4134-93ac-226ba3775e9f,Turner-Watson,colocation,38,173.07,68739.49,2291.32,2024-09-03,2028-08-20,pending,ERP_BILLING_EXPORT
ATL-01,2026-05-11,65621d81-cfca-48ad-8575-e65c673c6d97,Lopez PLC,colocation,23,115.55,30352.31,1011.74,2023-06-01,2027-12-26,pending,ERP_BILLING_EXPORT
ATL-01,2026-05-11,6fdd111a-19cf-43cf-b249-f27fbe6dbc1f,"Patterson, Wilson and Tyler",wholesale,44,412.74,105635.78,3521.19,2023-05-15,2027-11-18,pending,ERP_BILLING_EXPORT
ATL-01,2026-05-11,278e6f18-21d6-4ab5-83a9-d28a1d3ee8b2,Mendez-Mckay,colocation,43,306.46,42151.25,1405.04,2023-12-05,2027-05-13,overdue,ERP_BILLING_EXPORT
ATL-01,2026-05-11,f95529e8-91fa-44cd-87a0-9671ace8852d,Kaufman-Kelley,colocation,1,2.76,1608.64,53.62,2025-06-06,2028-02-10,pending,ERP_BILLING_EXPORT
ATL-01,2026-05-11,2d697960-9e8f-4a1b-9528-5fca4d13b7eb,Lopez PLC,wholesale,47,289.51,115705.38,3856.85,2025-07-16,2028-01-18,overdue,ERP_BILLING_EXPORT
ATL-01,2026-05-11,bdccb689-9113-49dc-b98a-acc9432d99bd,Moore Ltd,colocation,17,78.81,23961.67,798.72,2025-09-14,2029-03-28,pending,ERP_BILLING_EXPORT
CHI-01,2026-05-11,83cc6306-a3b7-489c-bc93-b0b003627f51,Simpson Group,wholesale,13,38.59,20356.46,678.55,2025-11-15,2027-03-23,pending,ERP_BILLING_EXPORT
CHI-01,2026-05-11,1c43a174-7759-4137-a8bb-26364287e8a9,Reeves-Campbell,cloud,6,23.86,9767.93,325.6,2024-04-03,2028-01-29,paid,ERP_BILLING_EXPORT
CHI-01,2026-05-11,d8af6f28-09bf-4328-a8f8-f896a7818216,Ortiz-Koch,wholesale,2,7.32,2260.26,75.34,2025-08-20,2029-02-02,overdue,ERP_BILLING_EXPORT
CHI-01,2026-05-11,1da2c842-83dc-4cf5-82ff-0b642e467a3f,"Thomas, Raymond and Perez",colocation,31,178.7,48128.44,1604.28,2025-07-16,2026-12-04,pending,ERP_BILLING_EXPORT
CHI-01,2026-05-11,67077bc9-7ed8-4ebb-8932-ce8c59653cd5,"Maxwell, Harris and Brown",colocation,1,7.98,1410.8,47.03,2025-10-14,2028-11-16,paid,ERP_BILLING_EXPORT
CHI-01,2026-05-11,f624a426-8627-43db-9138-57ecbe219aaa,Gonzalez PLC,colocation,33,238.31,82201.98,2740.07,2025-11-23,2027-08-24,paid,ERP_BILLING_EXPORT
CHI-01,2026-05-11,43d295c8-caee-42de-b1ca-fc56a8686a33,Moore Ltd,colocation,34,130.74,73415.39,2447.18,2025-01-05,2026-07-07,overdue,ERP_BILLING_EXPORT
CHI-01,2026-05-11,4aa6e26e-998c-4365-a2ca-1a91cfe8dae7,"Patterson, Wilson and Tyler",colocation,19,73.33,47473.19,1582.44,2024-08-06,2028-10-31,paid,ERP_BILLING_EXPORT
CHI-01,2026-05-11,0e99bf25-1a8b-4008-a672-6417cf35d662,Taylor PLC,cloud,22,147.29,18709.35,623.64,2024-06-08,2026-06-18,paid,ERP_BILLING_EXPORT
CHI-01,2026-05-11,7c18e074-5b74-412b-9d93-60b79fcd06b5,Carr Ltd,cloud,35,123.78,45432.68,1514.42,2023-12-21,2028-05-29,overdue,ERP_BILLING_EXPORT
SEA-01,2026-05-11,86cccd1c-1832-40e6-a445-4f2f0827db34,"Patterson, Wilson and Tyler",cloud,2,4.98,3870.9,129.03,2023-09-03,2027-01-16,pending,ERP_BILLING_EXPORT
SEA-01,2026-05-11,f566ed10-e5c8-46ed-954c-78c04ba0ba6d,Taylor PLC,wholesale,46,332.54,55436.73,1847.89,2025-01-18,2027-04-25,overdue,ERP_BILLING_EXPORT
SEA-01,2026-05-11,07064b09-3dc3-4773-8836-50159ecce9b8,"Weber, Dean and Salazar",wholesale,7,31.6,6162.59,205.42,2024-08-08,2026-07-20,pending,ERP_BILLING_EXPORT
