facility_id,report_timestamp,report_hour,total_rack_units,occupied_rack_units,server_utilization_pct,rack_type,cooling_temp_celsius,cooling_efficiency_pue,active_servers,failed_servers,maintenance_servers,network_throughput_gbps,network_utilization_pct,report_source
DAL-01,2026-05-11T00:00:00,0,1637,680,42.15,networking,20.2,1.481,491,4,5,73.21,71.83,DCIM_EXPORT
DAL-01,2026-05-11T01:00:00,1,883,450,53.38,gpu_compute,21.6,1.764,560,3,10,42.16,66.1,DCIM_EXPORT
DAL-01,2026-05-11T02:00:00,2,1918,524,56.65,networking,18.4,1.77,496,3,10,67.89,34.36,DCIM_EXPORT
DAL-01,2026-05-11T03:00:00,3,1587,451,47.35,standard_1U,22.4,1.242,690,4,2,34.64,33.78,DCIM_EXPORT
DAL-01,2026-05-11T04:00:00,4,1281,559,42.7,standard_1U,23.9,1.616,736,5,5,63.68,57.18,DCIM_EXPORT
DAL-01,2026-05-11T05:00:00,5,1971,677,59.62,standard_1U,21.9,1.737,519,2,10,40.57,47.63,DCIM_EXPORT
DAL-01,2026-05-11T06:00:00,6,1166,652,41.11,standard_1U,24.4,1.415,742,2,9,59.28,62.73,DCIM_EXPORT
DAL-01,2026-05-11T07:00:00,7,1162,575,59.67,standard_1U,26.8,1.233,546,5,7,75.36,70.53,DCIM_EXPORT
DAL-01,2026-05-11T08:00:00,8,1466,839,56.65,blade,19.4,1.403,491,3,9,74.74,54.33,DCIM_EXPORT
DAL-01,2026-05-11T09:00:00,9,1703,1150,72.84,networking,19.7,1.411,458,2,2,12.16,40.13,DCIM_EXPORT
DAL-01,2026-05-11T10:00:00,10,1594,620,66.42,blade,23.0,1.248,502,0,9,39.09,74.93,DCIM_EXPORT
DAL-01,2026-05-11T11:00:00,11,1485,813,76.01,standard_1U,20.3,1.566,423,0,1,95.21,42.27,DCIM_EXPORT
DAL-01,2026-05-11T12:00:00,12,1753,1308,75.15,gpu_compute,26.2,1.413,583,0,1,11.48,84.12,DCIM_EXPORT
DAL-01,2026-05-11T13:00:00,13,812,880,79.19,storage_dense,26.8,1.602,429,5,3,32.96,42.58,DCIM_EXPORT
DAL-01,2026-05-11T14:00:00,14,968,1098,76.22,networking,22.1,1.536,537,3,8,89.89,71.13,DCIM_EXPORT
DAL-01,2026-05-11T15:00:00,15,1380,1576,79.68,networking,24.7,1.444,670,0,6,50.66,78.42,DCIM_EXPORT
DAL-01,2026-05-11T16:00:00,16,1748,687,68.53,blade,20.8,1.725,619,2,3,99.78,41.45,DCIM_EXPORT
DAL-01,2026-05-11T17:00:00,17,1738,1308,78.62,storage_dense,24.7,1.679,706,1,5,93.81,39.85,DCIM_EXPORT
DAL-01,2026-05-11T18:00:00,18,1794,961,68.09,blade,20.5,1.363,237,5,2,97.45,84.48,DCIM_EXPORT
DAL-01,2026-05-11T19:00:00,19,1349,628,42.77,standard_1U,25.3,1.514,587,1,2,90.6,58.83,DCIM_EXPORT
DAL-01,2026-05-11T20:00:00,20,1431,1045,53.04,standard_1U,25.4,1.428,765,2,4,88.02,64.57,DCIM_EXPORT
DAL-01,2026-05-11T21:00:00,21,1406,684,50.6,blade,22.8,1.443,257,5,10,98.84,72.17,DCIM_EXPORT
DAL-01,2026-05-11T22:00:00,22,1436,517,42.41,storage_dense,25.0,1.768,605,0,4,33.61,63.06,DCIM_EXPORT
DAL-01,2026-05-11T23:00:00,23,1614,787,43.9,networking,19.6,1.229,483,4,7,35.5,47.75,DCIM_EXPORT
DAL-02,2026-05-11T00:00:00,0,1162,383,42.14,storage_dense,18.4,1.323,613,1,10,79.43,42.17,DCIM_EXPORT
DAL-02,2026-05-11T01:00:00,1,1026,459,42.83,storage_dense,20.3,1.296,472,0,3,24.02,55.7,DCIM_EXPORT
DAL-02,2026-05-11T02:00:00,2,841,1171,58.7,standard_1U,19.6,1.297,479,5,1,20.36,60.13,DCIM_EXPORT
DAL-02,2026-05-11T03:00:00,3,1453,554,56.11,blade,23.5,1.545,664,5,6,15.41,77.67,DCIM_EXPORT
DAL-02,2026-05-11T04:00:00,4,807,544,54.53,standard_1U,21.6,1.369,730,0,8,62.48,59.59,DCIM_EXPORT
DAL-02,2026-05-11T05:00:00,5,1471,454,51.35,standard_1U,24.9,1.562,440,4,4,22.69,43.8,DCIM_EXPORT
DAL-02,2026-05-11T06:00:00,6,1751,858,55.65,standard_1U,24.8,1.277,200,3,10,19.42,30.65,DCIM_EXPORT
DAL-02,2026-05-11T07:00:00,7,1033,832,49.53,storage_dense,22.5,1.728,345,0,8,45.13,54.99,DCIM_EXPORT
DAL-02,2026-05-11T08:00:00,8,1331,891,56.97,gpu_compute,20.0,1.251,487,5,6,69.07,71.45,DCIM_EXPORT
