facility_id,report_timestamp,report_hour,total_rack_units,occupied_rack_units,server_utilization_pct,rack_type,cooling_temp_celsius,cooling_efficiency_pue,active_servers,failed_servers,maintenance_servers,network_throughput_gbps,network_utilization_pct,report_source
DAL-01,2026-05-08T00:00:00,0,1641,545,56.31,storage_dense,26.1,1.235,779,0,3,30.04,68.96,DCIM_EXPORT
DAL-01,2026-05-08T01:00:00,1,1621,656,57.14,storage_dense,18.2,1.67,767,1,2,92.38,60.36,DCIM_EXPORT
DAL-01,2026-05-08T02:00:00,2,1810,723,59.37,storage_dense,21.3,1.568,646,4,9,20.64,33.1,DCIM_EXPORT
DAL-01,2026-05-08T03:00:00,3,1730,785,59.99,blade,26.4,1.753,485,1,0,62.94,70.79,DCIM_EXPORT
DAL-01,2026-05-08T04:00:00,4,992,718,47.22,standard_1U,19.1,1.346,514,5,10,51.59,62.15,DCIM_EXPORT
DAL-01,2026-05-08T05:00:00,5,915,845,51.12,standard_1U,19.5,1.699,243,4,0,44.4,53.86,DCIM_EXPORT
DAL-01,2026-05-08T06:00:00,6,1244,1028,55.76,standard_1U,18.2,1.77,233,2,7,14.45,81.24,DCIM_EXPORT
DAL-01,2026-05-08T07:00:00,7,1482,684,58.54,standard_1U,21.9,1.509,412,1,8,39.04,76.37,DCIM_EXPORT
DAL-01,2026-05-08T08:00:00,8,1533,631,44.38,blade,22.6,1.442,219,5,8,43.92,43.49,DCIM_EXPORT
DAL-01,2026-05-08T09:00:00,9,1144,1400,71.83,blade,24.3,1.586,544,1,10,94.93,41.1,DCIM_EXPORT
DAL-01,2026-05-08T10:00:00,10,979,1403,78.37,storage_dense,23.0,1.327,729,0,8,87.28,78.22,DCIM_EXPORT
DAL-01,2026-05-08T11:00:00,11,1588,1187,72.15,networking,21.5,1.787,758,3,4,87.67,42.09,DCIM_EXPORT
DAL-01,2026-05-08T12:00:00,12,1157,1050,78.52,blade,20.2,1.632,369,4,1,53.82,58.82,DCIM_EXPORT
DAL-01,2026-05-08T13:00:00,13,1996,742,76.74,networking,26.7,1.477,426,3,5,56.18,79.63,DCIM_EXPORT
DAL-01,2026-05-08T14:00:00,14,1033,1111,74.27,networking,22.1,1.513,354,1,8,14.07,48.71,DCIM_EXPORT
DAL-01,2026-05-08T15:00:00,15,1532,642,74.8,gpu_compute,22.1,1.652,261,1,5,79.05,72.71,DCIM_EXPORT
DAL-01,2026-05-08T16:00:00,16,1535,593,69.87,networking,20.6,1.788,678,2,3,83.54,61.75,DCIM_EXPORT
DAL-01,2026-05-08T17:00:00,17,1871,1444,78.7,storage_dense,25.4,1.675,673,0,8,71.74,73.51,DCIM_EXPORT
DAL-01,2026-05-08T18:00:00,18,910,852,71.59,storage_dense,25.9,1.671,421,5,7,33.85,33.83,DCIM_EXPORT
DAL-01,2026-05-08T19:00:00,19,1814,703,48.59,networking,21.7,1.798,766,0,0,37.26,31.69,DCIM_EXPORT
DAL-01,2026-05-08T20:00:00,20,1724,603,44.9,networking,25.8,1.376,738,3,10,53.67,46.11,DCIM_EXPORT
DAL-01,2026-05-08T21:00:00,21,1609,673,56.48,networking,22.0,1.435,359,4,4,38.57,65.83,DCIM_EXPORT
DAL-01,2026-05-08T22:00:00,22,1525,628,55.15,blade,24.7,1.289,411,5,6,52.76,39.36,DCIM_EXPORT
DAL-01,2026-05-08T23:00:00,23,1258,776,40.02,networking,21.3,1.444,512,1,2,89.65,78.0,DCIM_EXPORT
DAL-02,2026-05-08T00:00:00,0,1397,928,48.38,networking,23.6,1.373,315,4,9,43.49,66.28,DCIM_EXPORT
DAL-02,2026-05-08T01:00:00,1,1093,818,52.31,blade,19.5,1.598,792,2,7,56.59,38.91,DCIM_EXPORT
